Case55,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,200,0.01,0.021,0.021,0.688,38,0.0041,0.0001,18,36,0.33,3.84,15.032
Case56,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,200,0.01,0.054,0.021,0.688,38,0.0041,0.0001,18,36,0.33,3.84,15.032
Case57,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,200,0.01,0.054,0.021,0.688,38,0.0041,0.0001,18,144,0.33,3.84,15.032
Case58,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,200,0.01,0.054,0.054,0.688,38,0.0041,0.0001,18,144,0.33,3.84,15.032
Case59,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,2480,0.01,0.054,0.054,0.688,38,0.0041,0.0001,18,144,0.33,3.84,15.032
Case60,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,2480,0.01,0.054,0.054,0.688,38,0.0041,0.0001,22.8,144,0.33,3.84,15.032
Case61,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,2480,0.01,0.054,0.054,0.688,38,0.0041,0.00064,22.8,144,0.33,3.84,15.032
Case62,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,2480,0.01,0.054,0.054,0.688,38,0.0041,0.00064,22.8,144,0.33,9,15.032
Case63,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,2480,0.01,0.054,0.054,0.688,38,0.0041,0.00064,22.8,144,0.33,9,0.08
Case64,cntr_Manchester_TRY.epw,0,0.868,0.828,0.288,2480,0.01,0.054,0.054,0.97,38,0.0041,0.00064,22.8,144,0.33,9,0.08
Case65,cntr_Manchester_TRY.epw,0,0.592,0.828,0.288,2480,0.01,0.054,0.054,0.97,38,0.0041,0.00064,22.8,144,0.33,9,0.08
Case66,cntr_Manchester_TRY.epw,0,0.592,0.828,0.15,2480,0.01,0.054,0.054,0.97,38,0.0041,0.00064,22.8,144,0.33,9,0.08
